t=2026-08-05T13:52:07+0700 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-08-05T13:52:07+0700 lvl=info msg="no configuration paths supplied"
t=2026-08-05T13:52:07+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-08-05T13:52:07+0700 lvl=info msg="open config file" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-08-05T13:52:07+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-05T13:52:07+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=fcc0d7b66410 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=3f87169b564a l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=d42765925231 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=1ec7f58a1b99 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=e2e0c5192a39 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=80fb5b112c77 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=adce0444a6c8 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=d277e6169dd4 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:57+0700 lvl=info msg="join connections" obj=join id=9df9b347b62d l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:58+0700 lvl=info msg="join connections" obj=join id=81ae7b806f3f l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:58+0700 lvl=info msg="join connections" obj=join id=1ed1d765b2db l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:58+0700 lvl=info msg="join connections" obj=join id=81786ff961cf l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:58+0700 lvl=info msg="join connections" obj=join id=3812ecb6d42a l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:58+0700 lvl=info msg="join connections" obj=join id=b2d1aeed0ab5 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:00+0700 lvl=info msg="join connections" obj=join id=71d0fb5284ad l=127.0.0.1:5173 r=103.153.220.21:2988
t=2026-08-05T14:05:23+0700 lvl=info msg="join connections" obj=join id=34198fb41b57 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:24+0700 lvl=info msg="join connections" obj=join id=1f8215d0b10e l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=939ac9ead3c4 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=eebfc081e42f l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=e1bf3f1f4992 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=84d804f63fa9 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=646e7b31564b l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=7de3765b464c l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=680918d6c174 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=e45b3dd232e6 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=b22dc281add9 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=a0204aa0f4ac l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:25+0700 lvl=info msg="join connections" obj=join id=e4d4f2d09081 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:26+0700 lvl=info msg="join connections" obj=join id=c63c815967ec l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:26+0700 lvl=info msg="join connections" obj=join id=53de70dca058 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:27+0700 lvl=info msg="join connections" obj=join id=2e438cb029ba l=127.0.0.1:5173 r=103.153.220.21:2989
t=2026-08-05T14:05:34+0700 lvl=info msg="join connections" obj=join id=968c33408668 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:34+0700 lvl=info msg="join connections" obj=join id=3e7fa9e6e294 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:34+0700 lvl=info msg="join connections" obj=join id=ceb4e0606e52 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:34+0700 lvl=info msg="join connections" obj=join id=de287831f827 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:34+0700 lvl=info msg="join connections" obj=join id=5c7ffd74fa52 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:34+0700 lvl=info msg="join connections" obj=join id=b307ec55b952 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:05:44+0700 lvl=info msg="join connections" obj=join id=3da44e673d4c l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:08:20+0700 lvl=info msg="join connections" obj=join id=0cae2dbf247b l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=c6e850befbab l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=1de0022683f9 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=867ab83d922b l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=071cbf0be46c l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=f26ad89f67a2 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=fa248425d5c8 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:21+0700 lvl=info msg="join connections" obj=join id=272a88acabf8 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=90d992711307 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=e3343f808f35 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=e183b8f36043 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=af000be84ab1 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=e0c49d33d2dd l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=6a3bee8d6d60 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=556657dc2223 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=15c826c5279e l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=ba2c5c115174 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:22+0700 lvl=info msg="join connections" obj=join id=d3087d8f343a l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:23+0700 lvl=info msg="join connections" obj=join id=1dad17750afa l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:23+0700 lvl=info msg="join connections" obj=join id=8f1449ad698e l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:23+0700 lvl=info msg="join connections" obj=join id=4871e1e4e145 l=127.0.0.1:5173 r=103.153.220.21:3025
t=2026-08-05T14:08:23+0700 lvl=info msg="join connections" obj=join id=9c4f76e5012b l=127.0.0.1:5173 r=103.153.220.21:3025
